aX,aY,aZ,gX,gY,gZ
0.184353528,0.10055647,10.56561193,0.122137405,-2.610687023,-0.458015267
0.227449158,0.079008655,10.36689319,0.045801527,-2.473282443,-0.519083969
0.193930334,0.07182605,10.40280621,0.13740458,-2.519083969,-0.511450382
0.15801731,0.098162268,10.39801781,0.114503817,-2.41221374,-0.450381679
0.165199915,0.052672437,10.55124672,1.900763359,-2.473282443,-0.534351145
0.210689746,0.093373865,10.29506714,0.145038168,-2.389312977,-0.419847328
0.237025964,0.009576807,10.40280621,0.465648855,-2.671755725,-0.534351145
0.138863696,0.095768066,10.34534537,0.374045802,-2.534351145,-0.290076336
0.079008655,0.035913025,10.40998882,0.145038168,-2.320610687,-0.488549618
0.181959326,0.081402856,10.31900916,0.13740458,-2.534351145,-0.34351145
0.265756384,0.090979663,10.40759462,0.091603053,-2.595419847,-0.480916031
0.055066638,0.05746084,10.40998882,0.106870229,-2.435114504,-0.541984733
0.196324536,0.01436521,10.45308445,0.190839695,-2.427480916,-0.251908397
0.169988318,0.064643445,10.35492218,0.129770992,-2.450381679,-0.633587786
0.234631763,0.131681091,10.57040033,0.351145038,-2.389312977,-0.34351145
0.203507141,0.045489832,10.42674823,1.885496183,-2.458015267,-0.419847328
0.134075293,0.079008655,10.5296989,0.175572519,-2.389312977,-0.404580153
0.289698401,0.062249243,10.28788453,0.091603053,-2.419847328,-0.41221374
0.251391174,0.10055647,10.3788642,0.099236641,-2.480916031,-0.473282443
0.229843359,0.11492168,10.37407579,0.290076336,-2.480916031,-0.34351145
0.213083948,0.083797058,10.47702646,0.290076336,-2.404580153,-0.458015267
0.184353528,0.074220251,10.50815109,0.58778626,-2.541984733,-0.41221374
0.181959326,0.05746084,10.35492218,0.114503817,-2.419847328,-0.541984733
0.169988318,-0.126892688,10.50575688,0.229007634,-2.374045802,-0.580152672
0.167594116,0.033518823,10.37647,0.053435115,-2.427480916,-0.519083969
0.296881006,0.050278235,10.5296989,1.893129771,-2.442748092,-0.404580153
0.210689746,0.08619126,10.35492218,0.183206107,-2.595419847,-0.72519084
0.280121594,0.07182605,10.36928739,0.297709924,-2.496183206,-0.297709924
0.275333191,0.002394202,10.3836526,0.13740458,-2.748091603,4.648854962
0.126892688,0.04309563,10.31661495,0.27480916,-2.541984733,1.610687023
0.184353528,0.047884033,10.35013378,0.480916031,-2.374045802,3.633587786
0.007182605,0.050278235,10.37168159,0.366412214,-2.389312977,-1.213740458
1.247379065,-0.646434448,9.854534033,-19.22137405,-2.175572519,8.190839695
1.120486377,-1.151610999,10.04367596,7.06870229,-6.839694656,2.763358779
1.000776294,-0.864306799,9.911994873,0.290076336,3.687022901,-0.65648855
1.491587634,-2.497152332,9.679757312,-77.53435115,-23.04580153,-40.41984733
1.156399402,-1.783680237,10.2447889,119.259542,44.80916031,26.14503817
