Class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10
Right,-0.9007633587786260,23.083969465648900,-9.381679389312980,-2.16793893129771,1.5114503816793900,17.045801526717600,-9.145038167938930,1.0610687022900800,3.66412213740458,-5.801526717557250,49.343511450381700,3.7099236641221400,-28.106870229007600,250.12977099236600,24.114503816793900,-40.05343511450380,250.12977099236600,59.35114503816790,-17.603053435114500,63.06106870229010,15.603053435114500,15.763358778626000,-123.62595419847300,-40.82442748091600,18.549618320610700,-205.3206106870230,-53.74045801526720,15.030534351145000,-216.6946564885500,-46.00763358778630
Left,-0.366412213740458,20.549618320610700,-11.251908396946600,-2.2748091603053400,12.396946564885500,-11.992366412213700,-4.908396946564890,-7.221374045801530,-16.709923664122100,1.4885496183206100,-178.21374045801500,-22.480916030534400,-36.770992366412200,-114.06106870229000,-9.381679389312980,-23.770992366412200,2.0916030534351100,-13.83969465648860,1.5114503816793900,220.65648854961800,2.1068702290076300,-34.6412213740458,250.12977099236600,32.770992366412200,-9.778625954198470,154.23664122137400,12.0,3.9923664122137400,-29.85496183206110,-5.877862595419850
NoMove,-1.0610687022900800,19.404580152671800,-8.374045801526720,-0.7938931297709920,18.732824427480900,-8.19083969465649,-1.4809160305343500,18.671755725190800,-8.412213740458010,-0.6412213740458020,18.572519083969500,-9.564885496183210,-0.7404580152671760,19.3206106870229,-5.916030534351150,-0.8473282442748090,18.51145038167940,-8.610687022900760,-0.9389312977099240,17.99236641221370,-9.290076335877860,-0.8244274809160310,19.267175572519100,-8.045801526717560,-1.1984732824427500,18.69465648854960,-8.488549618320610,-0.31297709923664100,20.12213740458020,-8.916030534351150
Right,-1.717557251908400,16.85496183206110,-7.8396946564885500,-1.0610687022900800,16.549618320610700,-4.519083969465650,-7.198473282442750,79.6793893129771,10.86259541984730,-21.229007633587800,226.95419847328200,43.908396946564900,-37.908396946564900,250.12977099236600,60.55725190839700,-8.702290076335880,33.05343511450380,-0.42748091603053400,16.091603053435100,-101.14503816793900,-39.083969465648900,34.74045801526720,-250.13740458015300,-80.41984732824430,25.213740458015300,-250.13740458015300,-48.465648854961800,2.0381679389313000,-0.9923664122137400,-20.068702290076300
Left,1.0916030534351100,24.893129770992400,-13.076335877862600,-3.801526717557250,41.86259541984730,-5.412213740458020,-3.931297709923660,47.74809160305340,-12.664122137404600,1.702290076335880,-146.6259541984730,-28.572519083969500,-38.80916030534350,-218.2824427480920,-19.549618320610700,-40.57251908396950,-37.42748091603050,-17.53435114503820,24.85496183206110,161.4351145038170,-5.297709923664120,-33.969465648855000,250.12977099236600,51.9236641221374,-13.221374045801500,174.0381679389310,21.82442748091600,5.625954198473280,-64.10687022900760,-7.6183206106870200
NoMove,-1.2366412213740500,19.236641221374000,-7.595419847328250,-0.7022900763358780,19.85496183206110,-8.679389312977100,-1.8549618320610700,18.099236641221400,-9.053435114503820,-1.0916030534351100,19.297709923664100,-9.076335877862600,-1.1145038167938900,17.541984732824400,-8.068702290076340,-0.9923664122137400,19.80916030534350,-8.580152671755730,-0.8549618320610690,18.053435114503800,-9.13740458015267,-1.1068702290076300,18.427480916030500,-7.786259541984730,-1.2061068702290100,18.389312977099200,-8.404580152671760,-0.9847328244274810,18.946564885496200,-8.15267175572519
Left,-0.2900763358778630,22.47328244274810,-8.694656488549620,-1.0076335877862600,26.80916030534350,-10.748091603053400,-4.458015267175570,56.06106870229010,-10.816793893129800,6.450381679389310,-101.53435114503800,-17.610687022900800,-29.633587786259500,-188.18320610687000,-19.198473282442700,-55.030534351145000,-53.221374045801500,-20.549618320610700,-17.14503816793890,-1.6946564885496200,-8.320610687022900,23.19083969465650,250.12977099236600,0.5114503816793890,-25.251908396946600,250.12977099236600,35.412213740458000,-3.5419847328244300,96.2442748091603,7.778625954198470
Right,-1.2213740458015300,16.366412213740500,-9.351145038167940,-0.5190839694656490,12.458015267175600,-7.2748091603053400,0.3435114503816790,22.641221374045800,-2.9236641221374000,0.9236641221374050,75.05343511450380,20.366412213740500,-14.98473282442750,250.12977099236600,69.0,-48.47328244274810,250.12977099236600,67.67175572519080,-16.984732824427500,15.885496183206100,0.6717557251908400,13.977099236641200,-107.70229007633600,-35.06106870229010,14.977099236641200,-250.13740458015300,-93.89312977099240,34.786259541984700,-250.13740458015300,-64.09923664122140
NoMove,-1.450381679389310,21.85496183206110,-9.374045801526720,-1.1603053435114500,18.427480916030500,-8.664122137404580,-1.2595419847328200,19.022900763358800,-3.5343511450381700,-1.7709923664122100,14.381679389313000,2.4580152671755700,-0.31297709923664100,14.251908396946600,2.8244274809160300,-0.22900763358778600,15.48091603053440,-2.801526717557250,0.29770992366412200,21.610687022900800,-10.633587786259500,-0.26717557251908400,23.603053435114500,-14.091603053435100,-0.732824427480916,21.984732824427500,-10.587786259542000,0.3053435114503820,23.541984732824400,-10.13740458015270
Right,-3.1297709923664100,17.282442748091600,-8.061068702290080,-1.3358778625954200,15.0,-8.595419847328250,-3.5114503816793900,52.396946564885500,-5.809160305343510,-21.30534351145040,250.12977099236600,56.62595419847330,-47.32824427480920,250.12977099236600,69.3587786259542,-12.541984732824400,67.41984732824430,11.49618320610690,20.198473282442700,-178.3587786259540,-49.99236641221370,34.17557251908400,-250.13740458015300,-94.4885496183206,18.6793893129771,-250.13740458015300,-45.05343511450380,-1.984732824427480,44.31297709923660,-15.259541984732800
Left,1.015267175572520,31.68702290076340,-7.709923664122140,-6.931297709923670,67.95419847328250,-6.480916030534350,-4.885496183206110,33.88549618320610,-10.885496183206100,0.26717557251908400,-86.35114503816790,-33.70992366412210,-8.0,-250.13740458015300,-37.37404580152670,-64.52671755725190,-99.2824427480916,-28.870229007633600,-10.099236641221400,7.755725190839690,-14.641221374045800,27.595419847328200,179.8854961832060,-1.916030534351150,-15.65648854961830,250.12977099236600,25.435114503816800,-17.50381679389310,163.00763358778600,23.221374045801500
Right,-0.183206106870229,17.84732824427480,-9.938931297709920,0.16793893129771000,19.290076335877900,-5.557251908396950,-1.3435114503816800,49.76335877862600,2.114503816793890,-14.022900763358800,214.1145038167940,38.45038167938930,-41.81679389312980,250.12977099236600,50.396946564885500,-42.954198473282400,250.12977099236600,67.19847328244280,5.183206106870230,-14.129770992366400,-21.99236641221370,23.114503816793900,-228.46564885496200,-49.99236641221370,42.282442748091600,-250.13740458015300,-76.02290076335880,35.7557251908397,-250.13740458015300,-49.725190839694700
NoMove,-2.5267175572519100,22.587786259542000,-15.458015267175600,0.1450381679389310,24.709923664122100,-16.3206106870229,1.2595419847328200,22.519083969465600,-14.274809160305300,1.7404580152671800,24.16793893129770,-11.091603053435100,-0.2900763358778630,13.450381679389300,-2.0229007633587800,-0.9541984732824430,14.770992366412200,4.068702290076340,-1.618320610687020,16.35114503816790,-2.5267175572519100,-1.3053435114503800,19.96946564885500,-7.679389312977100,-0.7251908396946570,24.923664122137400,-12.389312977099200,0.2824427480916030,23.793893129771000,-13.961832061068700
Left,-3.4580152671755700,16.885496183206100,-9.946564885496180,-5.480916030534350,39.19847328244280,-11.694656488549600,-1.984732824427480,-43.458015267175600,-19.916030534351100,-13.366412213740500,-101.63358778626000,-30.259541984732800,-25.572519083969500,-95.3206106870229,-17.236641221374000,-22.236641221374000,-24.923664122137400,-6.374045801526720,19.083969465648900,125.16030534351100,-10.022900763358800,0.40458015267175600,244.8320610687020,13.16793893129770,-30.30534351145040,218.29007633587800,14.32824427480920,4.778625954198470,-10.427480916030500,-3.6259541984732800
Right,-0.8931297709923670,14.083969465648900,-8.80916030534351,-0.7938931297709920,19.763358778626000,-7.3816793893129800,0.48854961832061100,63.29770992366410,1.0687022900763400,-17.52671755725190,241.3740458015270,38.091603053435100,-39.9236641221374,250.12977099236600,53.98473282442750,-31.213740458015300,250.12977099236600,58.05343511450380,11.259541984732800,-1.297709923664120,-28.33587786259540,26.610687022900800,-250.13740458015300,-49.19083969465650,18.33587786259540,-250.13740458015300,-90.03053435114500,8.366412213740460,-133.10687022900800,-32.732824427480900
Left,4.977099236641220,16.748091603053400,-10.557251908396900,4.816793893129770,25.12213740458020,-6.893129770992370,6.824427480916030,60.7557251908397,-8.16793893129771,8.404580152671760,20.69465648854960,-16.72519083969470,27.64885496183210,-250.13740458015300,-33.61068702290080,-55.19083969465650,-146.48091603053400,-24.61832061068700,-27.87786259541990,-36.33587786259540,-33.847328244274800,17.358778625954200,206.63358778626000,-16.47328244274810,-29.519083969465600,250.12977099236600,8.732824427480920,-15.17557251908400,148.15267175572500,31.923664122137400
NoMove,-0.4198473282442750,19.671755725190800,-8.335877862595420,0.8091603053435120,19.641221374045800,-4.938931297709920,-1.3282442748091600,14.389312977099200,-0.06870229007633590,-4.374045801526720,10.198473282442700,3.3435114503816800,-0.9847328244274810,20.633587786259500,0.8015267175572520,3.5343511450381700,30.900763358778600,-12.320610687022900,3.648854961832060,31.625954198473300,-20.16030534351150,-1.3206106870229000,22.18320610687020,-26.33587786259540,-1.0,13.198473282442700,-5.656488549618320,-3.312977099236640,15.16793893129770,-10.305343511450400
NoMove,-1.0305343511450400,22.0381679389313,-11.725190839694700,-0.22137404580152700,21.0,-10.15267175572520,-0.648854961832061,18.778625954198500,-13.389312977099200,2.282442748091600,11.045801526717600,-3.5877862595419800,15.145038167938900,-3.8396946564885500,12.419847328244300,1.7404580152671800,7.396946564885500,-6.00763358778626,-0.7557251908396950,17.47328244274810,-8.129770992366410,-0.7786259541984730,20.404580152671800,-7.351145038167940,-1.0229007633587800,18.923664122137400,-8.381679389312980,-1.297709923664120,19.16030534351150,-8.267175572519090
NoMove,-1.3053435114503800,19.931297709923700,-9.396946564885500,-2.1374045801526700,29.3206106870229,-10.427480916030500,0.6106870229007630,30.47328244274810,-7.916030534351150,2.83206106870229,19.404580152671800,-4.2748091603053400,-2.099236641221370,12.335877862595400,-5.312977099236640,-2.969465648854960,11.366412213740500,-5.740458015267180,-1.381679389312980,18.00763358778630,-8.297709923664120,-0.030534351145038200,20.3206106870229,-10.603053435114500,0.7709923664122140,28.65648854961830,-9.549618320610690,2.3893129770992400,13.465648854961800,-6.6106870229007600
Left,-2.5877862595419800,17.396946564885500,-11.389312977099200,-3.450381679389310,27.68702290076340,-13.82442748091600,-5.251908396946570,0.7709923664122140,-7.6106870229007600,-0.030534351145038200,26.00763358778630,-10.580152671755700,-10.427480916030500,83.1526717557252,-5.7251908396946600,-4.305343511450380,-19.328244274809200,-7.511450381679390,11.16793893129770,-250.13740458015300,-30.69465648854960,-51.786259541984700,-144.19847328244300,-34.70992366412210,-43.13740458015270,-60.80152671755730,-49.12977099236640,12.427480916030500,66.6030534351145,-21.00763358778630
Right,-0.10687022900763400,18.732824427480900,-8.778625954198470,-1.786259541984730,19.33587786259540,-9.740458015267180,-1.297709923664120,40.465648854961800,-0.9618320610687020,-13.351145038167900,227.04580152671800,26.541984732824400,-39.404580152671800,250.12977099236600,51.213740458015300,-44.45038167938930,250.12977099236600,68.99236641221370,-17.68702290076340,22.3206106870229,-6.412213740458020,22.755725190839700,-62.55725190839700,-29.740458015267200,28.236641221374000,-250.13740458015300,-58.25954198473280,26.954198473282400,-250.13740458015300,-73.03053435114500
Right,-1.7251908396946600,15.007633587786300,-9.618320610687020,0.2824427480916030,54.19083969465650,-2.1374045801526700,-27.34351145038170,250.12977099236600,36.12977099236640,-46.343511450381700,250.12977099236600,59.030534351145000,-26.671755725190800,250.12977099236600,61.770992366412200,10.16793893129770,-3.6412213740458000,-24.908396946564900,29.0,-250.13740458015300,-83.79389312977100,31.549618320610700,-250.13740458015300,-79.8473282442748,11.259541984732800,-168.3053435114500,-31.641221374045800,-5.557251908396950,36.267175572519100,-17.85496183206110
