Class,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7
none,-9.212887988281250,0.7589619262695310,-8.705317236328120,0.7637503295898440,-8.573636145019530,1.218648645019530,-8.786720092773440,1.3862427612304700,-8.674192614746090,1.3215993164062500,-8.966285217285160,1.4053963745117200,-9.085995300292970,1.2330138549804700
none,-8.520963708496090,1.6304513305664100,-8.444349255371090,2.2098481323242200,-8.884882360839840,1.7597382202148400,-9.380482104492190,0.7613561279296870,-9.445125549316410,0.011971008300781200,-9.380482104492190,-0.33518823242187500,-9.236830004882810,-0.16041151123046900
none,-9.222464794921880,0.031124621582031200,-9.222464794921880,0.5578489868164060,-9.528922607421870,0.4333505004882810,-8.963891015625,0.718260498046875,-8.738836059570310,1.120486376953130,-8.896853369140620,0.8906430175781250,-8.88009395751953,0.9576806640625
none,-9.459490759277340,-0.45010991210937500,-9.217676391601560,-0.009576806640625,-9.062053283691410,0.22744915771484400,-8.851363537597660,0.40222587890625,-9.126696728515620,0.4477157104492190,-9.143456140136720,0.25139117431640600,-9.1554271484375,0.0383072265625
lower,-9.196128576660160,1.2425906616210900,-8.923189587402340,1.599326708984380,-7.417236743164060,2.214636535644530,-5.9017070922851600,1.8124106567382800,-3.778050219726560,0.13407529296875000,-2.817975354003910,-2.7461493041992200,-4.948814831542970,-6.062118603515630
lower,-7.395688928222660,2.1811177124023400,-5.635950708007810,1.8291700683593700,-3.854664672851560,0.6416460449218750,-4.783614916992190,-1.944091748046880,-5.499481213378910,-4.50109912109375,-5.951985327148440,-7.335833886718750,-5.061342309570310,-11.583147631835900
lower,-3.5338416503906200,1.9800047729492200,-4.4005426513671900,0.0143652099609375,-5.9783215454101600,-4.836287353515620,-7.283161450195310,-8.173804467773440,-6.0333881835937500,-9.4618849609375,-5.7508723876953100,-13.357251062011700,-6.641515405273440,-14.233528869628900
none,-8.777143286132810,1.4796166259765600,-8.456320263671880,1.6831237670898400,-8.757989672851560,0.948103857421875,-9.246406811523440,0.5674257934570310,-9.672574707031250,0.06464344482421870,-9.68454571533203,-0.17238251953125,-9.421183532714840,-0.411802685546875
none,-9.184157568359380,0.6775590698242190,-9.062053283691410,0.5051765502929690,-9.047688073730470,0.5746083984375,-8.75320126953125,0.3136404174804690,-9.334992272949220,0.3854664672851560,-9.299079248046870,0.4740519287109380,-9.18655177001953,0.7829039428710940
none,-9.390058911132810,-0.05027823486328130,-9.255983618164060,-0.09576806640625000,-9.193734375,-0.076614453125,-9.112331518554690,-0.10773907470703100,-9.165003955078120,-0.2059013427734380,-9.150638745117190,-0.16998831787109400,-9.157821350097660,-0.076614453125
none,-8.978256225585940,0.09337386474609370,-9.191340173339840,0.11731588134765600,-8.884882360839840,0.3112462158203130,-8.695740429687500,0.5003881469726560,-8.930372192382810,0.51714755859375,-9.313444458007810,0.40462008056640600,-9.53131680908203,0.2442085693359380
lower,-8.920795385742190,1.1444283935546900,-9.088389501953120,1.2425906616210900,-9.045293872070310,1.2521674682617200,-8.657433203125000,1.2928688964843700,-8.001421948242190,1.3551181396484400,-5.42047255859375,1.455674609375,-2.6479870361328100,-0.97683427734375
