Class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,
True, -0.30406361083984373, -9.957484704589843, -1.0295067138671874, -0.29927520751953124, -9.579200842285156, -0.9864110839843749, -0.5099649536132812, -9.658209497070311, -1.6352397338867186, -0.45489831542968745, -10.029310754394531, -1.2641384765625, -0.8930372192382812, -10.874463940429687, -1.6472107421875, -4.553771557617187, -12.363657373046875, -0.229843359375, -6.385335827636719, -14.638148950195312, 2.1404162841796874, -5.5258174316406246, -12.751518041992187, -1.1827356201171875, -2.252943762207031, -6.311115576171875, -0.8403647827148437, -2.7078420776367187, -0.70868369140625, 0.2920926025390625, -7.211335400390625, -0.45010991210937495, -0.6631938598632812, -8.535328918457031, -1.16837041015625, -0.9217676391601562, -9.210493786621093, -1.0702081420898437, -0.8164227661132812, -9.0788126953125, -1.5825672973632812, -0.6416460449218749, 
False, -1.0893617553710937, -9.854534033203125, -1.39821376953125, -0.8906430175781249, -9.552864624023437, -1.2689268798828124, -0.8547299926757812, -10.034099157714843, -1.2713210815429687, -1.2378022583007813, -10.204087475585936, -1.6065093139648436, -0.7206546997070312, -9.7683427734375, -1.1516109985351561, -1.0342951171875, -9.923965881347655, -1.3000515014648437, -0.7134720947265625, -9.80665, -0.9983820922851562, -1.0917559570312498, -9.931148486328125, -1.3527239379882812, -1.0749965454101562, -9.885658654785155, -1.3646949462890625, -1.0366893188476562, -9.871293444824218, -1.218648645019531, -0.9624690673828125, -9.679757312011718, -1.3072341064453123, -1.0726023437499999, -9.900023864746093, -1.3670891479492187, -0.9528922607421875, -9.878476049804688, -1.3551181396484375, -0.9193734375, -9.91438907470703, -1.3287819213867187, 
True, -1.120486376953125, -9.773131176757811, -1.3192051147460937, -0.7038952880859375, -9.56962403564453, -1.4125789794921875, -1.1611878051757811, -9.923965881347655, -1.915361328125, -1.1348515869140625, -10.462661254882812, -1.8291700683593748, -7.173028173828125, -11.997344519042969, -0.6153098266601562, -9.572018237304688, -17.662025646972655, -0.033518823242187495, -3.7804444213867185, -13.898340637207031, -0.38786066894531246, -0.028730419921875, -5.135562561035156, -1.1156979736328125, -1.879448303222656, 0.2657563842773437, 0.9552864624023437, -8.221688500976562, -0.40940848388671874, -0.2920926025390625, -8.046911779785155, -1.4173673828125, -0.2825157958984375, -9.459490759277344, -1.0654197387695312, -0.9050082275390624, -9.0788126953125, -1.5921441040039062, -1.3383587280273437, -9.277531433105468, -1.3215993164062498, -0.9337386474609375, 
True, -1.3718775512695311, -9.823409411621093, -1.8531120849609375, -2.099714855957031, -9.289502441406249, -3.208230224609375, -1.7932570434570312, -10.012551342773437, -2.142810485839844, -0.6392518432617187, -10.098742602539062, -1.93451494140625, -5.820304235839844, -11.221623181152344, -2.9759926635742184, -8.396465222167969, -14.465766430664061, -0.17238251953125, -5.044582897949218, -15.713145495605469, 0.814028564453125, 0.2657563842773437, -7.196970190429687, 0.4860229370117187, -0.44532150878906246, -0.19153613281249998, 1.0582371337890624, -7.517793212890624, -0.296881005859375, 0.09576806640624999, -9.02135185546875, -0.7876923461914062, -0.3950432739257812, -8.894459167480468, -1.139639990234375, -0.22266075439453123, -9.038111267089842, -1.0941501586914062, -0.6703764648437499, -9.088389501953124, -1.0821791503906248, -0.55545478515625, 
False, -1.3335703247070312, -9.603142858886718, -2.142810485839844, -2.1619640991210938, -9.679757312011718, -3.373430139160156, 1.838746875, -9.785102185058593, -1.0989385620117187, 2.5163059448242184, -8.264784130859374, -0.6440402465820312, -3.816357446289062, -15.5910412109375, -19.6133, 12.11705460205078, -10.388441003417968, -4.587290380859375, 11.765106958007811, -10.955866796875, 16.845602880859374, 8.463502868652343, -13.436259716796874, 17.5830169921875, 1.944091748046875, -11.707646118164062, 8.319850769042969, -0.16041151123046873, -6.660669018554687, 0.507570751953125, -5.667075329589843, -8.13310303955078, -4.572925170898437, -5.030217687988281, -8.767566479492187, -6.411672045898437, -4.690241052246093, -9.651026892089844, -7.692569934082031, -3.7612908081054686, -10.28549033203125, -7.601590270996093, 
True, -1.3575123413085937, -9.399635717773437, -3.268085266113281, -1.0534487304687499, -9.751583361816406, -2.408566870117187, -3.191470812988281, -11.63821427001953, -0.8547299926757812, -7.812280017089844, -14.867992309570312, 1.1252747802734375, -5.197811804199218, -13.639766857910155, -0.14125789794921875, -3.593696691894531, -10.654197387695312, 0.5746083984375, -1.6017209106445311, -2.70065947265625, -2.3415292236328122, -4.951209033203125, 0.47644613037109373, -2.214636535644531, -9.011775048828124, -0.24660277099609373, -2.1715409057617188, -9.157821350097656, -0.5195417602539062, -0.6727706665039062, -9.361328491210937, -0.7134720947265625, -0.7110778930664062, -9.471461767578125, -0.9074024291992187, -1.0558429321289062, -9.114725720214842, -0.7326257080078125, -0.8259995727539062, -9.074024291992187, -0.9959878906249999, -0.4836287353515625, 
True, -0.9265560424804687, -9.765948571777344, -1.9584569580078124, -0.9983820922851562, -9.658209497070311, -1.7501614135742187, -0.86191259765625, -9.804255798339844, -1.8914193115234375, -1.209071838378906, -9.521740002441407, -2.29843359375, -1.2521674682617188, -9.617508068847656, -2.4013842651367185, -7.599196069335937, -10.63025537109375, -4.129997863769531, -8.130708837890625, -14.633360546874998, -1.4939818359375, -5.9591679321289055, -12.466608044433594, -1.39821376953125, -3.6296097167968746, -7.6231380859375, 0.031124621582031248, -2.446874096679687, -1.6735469604492186, -0.0047884033203125, -6.402095239257812, -0.1292868896484375, -0.8930372192382812, -8.449137658691406, -0.5698199951171875, -0.5219359619140624, -9.315838659667968, -1.0223241088867188, -1.3192051147460937, -9.253589416503905, -0.9361328491210937, -1.4724340209960938, 
False, -1.6328455322265625, -9.483432775878907, -2.7341782958984373, -1.3838485595703125, -9.291896643066405, -3.0238766967773434, -1.4820108276367188, -10.062829577636718, -2.7581203125, -1.5586252807617187, -9.60793126220703, -3.1507693847656246, -1.5418658691406248, -9.672574707031249, -3.0166940917968748, -1.6160861206054686, -9.390058911132812, -3.1651345947265623, -1.656787548828125, -9.588777648925781, -2.549824768066406, -1.6472107421875, -9.581595043945311, -2.7940333374023436, -1.659181750488281, -9.533711010742186, -2.817975354003906, -1.7980454467773437, -9.490615380859374, -2.9544448486328125, -1.687912170410156, -9.5001921875, -2.798821740722656, -1.8291700683593748, -9.651026892089844, -2.9041666137695312, -1.668758557128906, -9.497797985839844, -2.863465185546875, -1.6256629272460936, -9.560047229003906, -2.7964275390625, 
False, -8.820238916015624, -1.0342951171875, 1.5921441040039062, -8.877699755859375, -1.0127473022460938, 1.6041151123046875, -8.779537487792968, -0.9840168823242187, 1.4628572143554686, -8.8489693359375, -1.0462661254882812, 1.6831237670898436, -8.688557824707031, -1.0031704956054688, 1.7453730102539062, -8.82263311767578, -1.1156979736328125, 1.9512743530273435, -8.825027319335938, -1.1085153686523437, 1.7597382202148437, -8.805873706054687, -0.8978256225585937, 1.5729904907226562, -8.731653454589843, -0.9911994873046874, 1.9656395629882812, -8.882488159179687, -0.8475473876953125, 1.5634136840820312, -9.04050546875, -0.9002198242187499, 1.446097802734375, -8.889670764160156, -0.8379705810546875, 1.6328455322265625, -8.892064965820312, -0.9504980590820312, 1.7214309936523438, -8.772354882812499, -0.8499415893554687, 1.7669208251953124, 
True, -0.47165772705078124, -9.727641345214844, -2.7174188842773437, -1.1252747802734375, -9.967061511230469, -3.1220389648437497, -6.907271789550781, -11.410765112304686, -4.189852905273438, -9.469067565917967, -19.6133, 1.2114660400390624, 1.177947216796875, -14.930241552734374, -1.3383587280273437, 0.5458779785156249, -4.637568615722656, -1.388636962890625, -5.030217687988281, 0.8643067993164062, -1.7286135986328124, -7.50821640625, 0.13407529296874998, -2.070984436035156, -8.456320263671875, -0.44532150878906246, -2.070984436035156, -9.138667736816405, -0.316034619140625, -1.9536685546875, -9.483432775878907, -0.4740519287109375, -2.616862414550781, -9.423577734375, -0.6081272216796875, -2.0542250244140625, -8.992621435546875, -0.7613561279296874, -1.889025109863281, -9.198522778320312, -0.5051765502929687, -1.9919757812499999, 
