Class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14
False, -8.458714465332031, -2.4157494750976563, -4.2305543334960936, -8.473079675292968, -2.461239306640625, -4.218583325195312, -8.475473876953124, -2.4205378784179685, -4.225765930175781, -8.441955053710936, -2.39420166015625, -4.125209460449218, -8.463502868652343, -2.3056161987304686, -4.187458703613281, -8.441955053710936, -2.4492682983398435, -4.161122485351562, -8.480262280273436, -2.499546533203125, -3.986345764160156, -8.295908752441406, -2.375048046875, -4.283226770019531, -8.384494213867187, -2.422932080078125, -4.1563340820312495, -8.513781103515624, -2.4588451049804685, -4.240131140136718, -8.384494213867187, -2.3870190551757813, -4.285620971679688, -8.461108666992187, -2.4684219116210935, -4.053383410644531, -8.291120349121094, -2.4061726684570313, -4.00310517578125, -8.451531860351562, -2.463633508300781, -3.8474820678710935, 
False, -8.487444885253906, -2.4109610717773435, -4.089296435546875, -8.506598498535157, -2.461239306640625, -4.086902233886718, -8.578424548339843, -2.375048046875, -4.043806604003906, -8.48505068359375, -2.4157494750976563, -4.211400720214844, -8.506598498535157, -2.442085693359375, -4.082113830566406, -8.434772448730468, -2.4492682983398435, -4.149151477050781, -8.508992700195313, -2.4205378784179685, -4.089296435546875, -8.394071020507813, -2.375048046875, -4.1563340820312495, -8.532934716796875, -2.5163059448242184, -4.2880151733398435, -8.300697155761718, -2.43250888671875, -4.333505004882812, -8.350975390624999, -2.43250888671875, -4.204218115234375, -8.465897070312499, -2.530671154785156, -4.240131140136718, -8.384494213867187, -2.4133552734375, -4.201823913574218, -8.537723120117187, -2.4899697265625, -4.110844250488281, 
False, -8.291120349121094, -2.4516625, -4.335899206542969, -8.36294639892578, -2.4444798950195312, -4.024652990722656, -8.403647827148436, -2.398990063476562, -4.1946413085937495, -8.566453540039062, -2.403778466796875, -4.333505004882812, -8.403647827148436, -2.365471240234375, -4.129997863769531, -8.389282617187499, -2.403778466796875, -4.225765930175781, -8.494627490234375, -2.398990063476562, -4.1754876953124995, -8.559270935058594, -2.3056161987304686, -4.094084838867187, -8.456320263671875, -2.300827795410156, -4.019864587402344, -8.465897070312499, -2.4109610717773435, -4.177881896972656, -8.501810095214843, -2.2840683837890623, -4.189852905273438, -8.40125362548828, -2.3439234252929686, -4.055777612304687, -8.40843623046875, -2.463633508300781, -4.4005426513671875, -8.547299926757812, -2.365471240234375, -4.412513659667969, 
False, -8.43956085205078, -2.3582886352539063, -4.158728283691406, -8.568847741699217, -2.4492682983398435, -4.261678955078125, -8.427589843749999, -2.0159177978515626, -3.5098996337890624, -8.528146313476562, -3.201047619628906, -6.72291826171875, -8.078036401367187, -2.1883003173828124, -2.4947581298828125, -8.549694128417968, -2.463633508300781, -4.446032482910156, -8.027758166503906, -2.5450363647460934, -2.9831752685546875, -8.449137658691406, -2.549824768066406, -4.46279189453125, -8.322244970703125, -2.4396914916992185, -4.414907861328125, -8.451531860351562, -2.530671154785156, -4.304774584960938, -8.334215979003906, -2.446874096679687, -4.328716601562499, -8.329427575683594, -2.3127988037109373, -4.220977526855468, -8.413224633789062, -2.4660277099609376, -4.280832568359375, -8.341398583984375, -2.4061726684570313, -4.144363073730468, 
False, -8.403647827148436, -2.403778466796875, -4.417302062988281, -8.420407238769531, -2.4588451049804685, -4.333505004882812, -8.365340600585936, -2.6001030029296874, -4.220977526855468, -8.389282617187499, -2.4133552734375, -4.211400720214844, -8.353369592285155, -2.2194249389648437, -4.055777612304687, -8.197746484375, -2.6479870361328124, -5.046977099609375, -8.686163623046875, -2.2768857788085937, -4.299986181640625, -8.339004382324218, -2.408566870117187, -4.153939880371094, -8.358157995605469, -2.43250888671875, -4.367023828124999, -8.327033374023436, -2.437297290039062, -4.429273071289062, -8.334215979003906, -2.568978381347656, -4.388571643066406, -8.2743609375, -2.4061726684570313, -4.266467358398438, -8.192958081054687, -2.418143676757812, -5.238513232421875, -8.267178332519531, -2.389413256835937, -4.244919543457031, 
False, -8.341398583984375, -2.35589443359375, -4.493916516113281, -8.341398583984375, -2.492363928222656, -4.455609289550781, -8.319850769042969, -2.4492682983398435, -4.484339709472656, -8.298302954101562, -2.473210314941406, -4.426878869628906, -8.36294639892578, -2.408566870117187, -4.304774584960938, -8.319850769042969, -2.482787121582031, -4.584896179199219, -8.635885388183594, -2.1883003173828124, -4.589684582519531, -8.262389929199218, -2.578555187988281, -4.185064501953125, -8.358157995605469, -2.5665841796874997, -4.450820886230469, -8.336610180664062, -2.5953145996093747, -4.472368701171875, -8.33182177734375, -2.3535002319335936, -4.6255976074218745, -8.279149340820313, -2.4684219116210935, -4.5585599609375, -8.2743609375, -2.4396914916992185, -4.5322237426757805, -8.32463917236328, -2.5426421630859375, -4.582501977539062, 
False, -8.157045056152343, -2.5258827514648434, -4.572925170898437, -8.238447912597655, -2.461239306640625, -4.716577270507813, -8.128314636230469, -2.626439221191406, -5.011064074707031, -8.228871105957031, -2.408566870117187, -4.228160131835938, -8.420407238769531, -2.70065947265625, -5.054159704589844, -8.161833459472655, -2.365471240234375, -4.491522314453125, -8.367734802246094, -2.427720483398437, -4.5585599609375, -8.125920434570313, -2.4971523315429685, -4.80755693359375, -8.348581188964843, -2.2768857788085937, -3.725377783203125, -8.192958081054687, -2.5713725830078125, -4.80755693359375, -8.367734802246094, -2.499546533203125, -4.448426684570312, -8.358157995605469, -2.5354595581054684, -4.486733911132812, -8.341398583984375, -2.592920397949219, -4.642357019042969, -8.204929089355469, -2.4851813232421875, -4.565742565917969, 
False, -0.7972691528320313, -9.689334118652344, -4.046200805664062, -0.55545478515625, -9.603142858886718, -3.766079211425781, -0.35194764404296874, -9.464279162597656, -3.77326181640625, -0.28490999755859375, -9.442731347656249, -4.3622354248046875, -0.42377369384765623, -10.031704956054687, -4.556165759277343, -0.28730419921875, -8.588001354980468, -1.7597382202148437, -0.7565677246093749, -9.885658654785155, -4.862623571777344, -0.28969840087890625, -9.358934289550781, -6.6702458251953125, 0.16759411621093748, -9.548076220703125, -7.3094976684570305, 0.2920926025390625, -9.210493786621093, -3.1292215698242187, 0.04548983154296875, -9.241618408203124, -4.620809204101562, 0.3806780639648437, -9.011775048828124, -5.276820458984375, 0.033518823242187495, -9.062053283691405, -2.935291235351562, -0.3495534423828125, -9.162609753417968, -3.0980969482421874, 
False, -0.201112939453125, -8.607154968261717, -4.905719201660156, -1.1923124267578125, -8.84178673095703, -5.080495922851562, -1.3072341064453123, -8.963891015625, -5.049371301269531, -1.2880804931640624, -8.939948999023438, -5.164292980957031, -1.2282254516601563, -8.89924757080078, -5.238513232421875, -1.2689268798828124, -8.870517150878905, -5.123591552734375, -1.3192051147460937, -8.875305554199219, -5.05655390625, -1.429338391113281, -8.987833032226561, -4.754884497070313, -1.3958195678710936, -8.913612780761719, -4.809951135253906, -1.3144167114257812, -8.8489693359375, -5.2073886108398435, -1.1013327636718748, -8.772354882812499, -4.774038110351563, -1.1276689819335937, -8.79150849609375, -3.833116857910156, -1.3335703247070312, -8.702923034667968, -4.486733911132812, -1.3144167114257812, -8.607154968261717, -4.369418029785156, 
False, -2.04943662109375, -7.747636572265624, -7.199364392089843, -2.6048914062499997, -7.618349682617187, -6.323086584472656, -2.887407202148437, -6.8210805297851556, -7.005434057617187, -2.89219560546875, -7.094019519042968, -7.235277416992187, -2.9568390502929685, -6.6319385986328125, -7.3837179199218745, -3.1675287963867187, -6.253654736328125, -7.362170104980469, -3.1411925781249996, -6.093243225097656, -7.692569934082031, -3.2154128295898436, -5.928043310546875, -7.687781530761718, -3.1124621582031247, -6.069301208496094, -8.95670841064453, -2.7964275390625, -5.904101293945312, -8.039729174804688, -2.6384102294921874, -6.327874987792969, -8.33182177734375, -3.1962592163085937, -6.315903979492187, -7.687781530761718, -2.3247698120117186, -6.691793640136718, -7.582436657714843, -2.4516625, -7.031770275878906, -7.357381701660156, 
False, -9.026140258789061, -1.1827356201171875, -3.0526071166992184, -8.901641772460938, -1.216254443359375, -3.0406361083984375, -8.913612780761719, -0.8906430175781249, -3.172317199707031, -8.896853369140624, -0.9528922607421875, -2.9568390502929685, -8.916006982421875, -1.1659762084960936, -2.96881005859375, -8.63827958984375, -1.0390835205078124, -2.8706477905273435, -8.990227233886719, -0.7852981445312499, -3.687070556640625, -8.686163623046875, -0.7685387329101562, -3.7038299682617186, -8.726865051269531, -0.8738836059570312, -3.2609026611328122, -9.02135185546875, -0.8164227661132812, -4.728548278808593, -8.84178673095703, -0.7829039428710937, -4.173093493652344, -8.688557824707031, -0.7206546997070312, -3.356670727539062, -8.942343200683593, -1.189918225097656, -3.3494881225585935, -8.939948999023438, -0.9911994873046874, -3.1196447631835937, 
