Class,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14
raise,-5.801150622558590,-9.950302099609370,-8.461108666992190,-10.467449658203100,-8.817844714355470,-12.164938635253900,-7.4962453979492200,-13.297396020507800,-5.844246252441410,-9.70369932861328,-5.193023400878910,-6.461950280761720,-4.671087438964840,-2.916137622070310,-4.977545251464840,2.6312276245117200,-4.144363073730470,5.76523759765625,-4.206612316894530,7.0102224609375000,-4.522646936035160,7.335833886718750,-5.427655163574220,7.000645654296880,-5.913678100585940,6.768408093261720,-6.2201359130859400,6.76122548828125
raise,-3.4835634155273400,-9.126696728515620,-4.455609289550780,-8.748412866210940,-6.8210805297851600,-9.648632690429690,-8.334215979003910,-12.100295190429700,-6.452373474121090,-13.304578625488300,-5.216965417480470,-11.875240234375,-4.975151049804690,-8.695740429687500,-5.200206005859380,-6.883329772949220,-4.774038110351560,-1.915361328125,-5.013458276367190,1.1875240234375,-5.446808776855470,4.204218115234380,-5.566518859863280,5.983109948730470,-5.327098693847660,6.497863305664060,-6.076483813476560,6.5505357421875
raise,-3.6750995483398400,-9.241618408203120,-5.367800122070310,-9.78031378173828,-8.640673791503910,-10.809820495605500,-8.020575561523440,-11.81777939453130,-7.68059892578125,-12.509703674316400,-6.48589229736328,-10.254365710449200,-5.214571215820310,-7.304709265136720,-5.310339282226560,-4.472368701171880,-4.259284753417970,-0.5267243652343750,-4.891353991699220,4.637568615722660,-3.9264907226562500,6.440402465820310,-4.84586416015625,6.768408093261720,-5.2456958374023400,6.7803791015625,-5.468356591796880,6.636727001953120
raise,-3.296815686035160,-9.485826977539060,-4.903325,-9.56962403564453,-5.6024318847656200,-9.3086560546875,-7.8721350585937500,-10.0748005859375,-9.579200842285160,-12.694057202148400,-8.844180932617190,-12.86404552001950,-5.592855078125,-11.18571015625,-4.295197778320310,-8.152256652832030,-2.959233251953130,-2.8706477905273400,-3.8283284545898400,3.564966271972660,-2.73896669921875,5.796362219238280,-2.3511060302734400,7.75721337890625,-3.0693665283203100,7.979874133300780,-4.120421057128910,7.9295958984375000
lower,-6.294356164550780,6.019022973632810,-5.130774157714840,5.722141967773440,-3.3710359375,5.0014872680664100,-3.3399113159179700,1.3934253662109400,-4.314351391601560,-2.0350714111328100,-6.7277066650390600,-5.157110375976560,-8.085219006347660,-8.489839086914060,-10.79545528564450,-13.17050333251950,-6.979097839355470,-12.952630981445300,-6.430825659179690,-11.221623181152300,-4.436455676269530,-10.20887587890630,-3.744531396484380,-9.610325463867190,-2.8036101440429700,-9.5384994140625,-2.0063409912109400,-10.01733974609380
lower,-6.287173559570310,4.695029455566410,-4.618415002441410,3.9600095458984400,-4.6351744140625,1.8411410766601600,-5.367800122070310,-0.5315127685546870,-6.5768719604492200,-3.0238766967773400,-8.339004382324220,-6.598419775390620,-8.712499841308590,-11.0707884765625,-7.848193041992190,-12.406753002929700,-6.782773303222660,-11.980585107421900,-5.3007624755859400,-11.030087048339800,-4.508281726074220,-9.969455712890630,-2.9496564453125,-9.923965881347660,-2.114080065917970,-9.91438907470703,-1.7118541870117200,-9.91438907470703
lower,-6.7277066650390600,5.793968017578120,-5.0948611328125000,5.571307263183590,-5.468356591796880,4.695029455566410,-5.0182466796875,2.5809493896484400,-4.3622354248046900,-0.19393033447265600,-6.500257507324220,-2.6288334228515600,-6.919242797851560,-5.908889697265630,-7.709329345703120,-9.406818322753910,-9.162609753417970,-11.020510241699200,-6.866570361328130,-11.403582507324200,-6.555324145507810,-10.55364091796880,-5.336675500488280,-10.031704956054700,-3.921702319335940,-9.739612353515630,-3.318363500976560,-9.677363110351560
lower,-5.597643481445310,5.614402893066410,-3.7134067749023400,5.5641246582031200,-5.334281298828130,4.496310717773440,-6.442796667480470,3.1387983764648400,-6.639121203613280,1.1923124267578100,-7.345410693359380,-1.5083470458984400,-8.580818750000000,-3.0933085449218700,-8.001421948242190,-6.227318518066410,-7.42441934814453,-8.975862023925780,-7.587225061035160,-10.579977136230500,-6.60799658203125,-10.931924780273400,-5.6383449096679700,-10.905588562011700,-4.929661218261720,-10.1131078125,-4.728548278808590,-10.079588989257800
lower,-2.250549560546880,3.5434184570312500,-4.570530969238280,0.8403647827148440,-7.563283044433590,-4.163516687011720,-10.046070166015600,-8.341398583984380,-9.435548742675780,-10.184933862304700,-8.825027319335940,-11.71482872314450,-7.884106066894530,-11.188104357910200,-5.827486840820310,-10.309432348632800,-4.410119458007810,-9.81862100830078,-3.5338416503906200,-9.655815295410160,-3.019088293457030,-9.662997900390630,-2.1787235107421900,-9.81862100830078,-1.946485949707030,-9.751583361816410,-2.0733786376953100,-9.89523546142578
lower,-8.271966735839840,3.6559459350585900,-7.783549597167970,3.6056677001953100,-6.452373474121090,3.2728736694335900,-4.781220715332030,1.350329736328130,-4.153939880371090,-1.120486376953130,-4.3813890380859400,-5.5641246582031200,-7.287949853515630,-8.44674345703125,-7.266402038574220,-9.832986218261720,-8.204929089355470,-11.080365283203100,-6.461950280761720,-12.016498132324200,-4.493916516113280,-11.77228956298830,-3.5793314819335900,-10.89122335205080,-2.9664158569335900,-10.098742602539100,-2.3415292236328100,-9.449913952636720
lower,-7.510610607910160,4.338293408203130,-5.193023400878910,3.835511059570310,-2.849099975585940,2.789244934082030,-3.5529952636718700,0.8116343627929690,-4.055777612304690,-3.835511059570310,-4.99909306640625,-8.257601525878910,-7.058106494140630,-11.808202587890600,-7.433996154785160,-14.324508532714800,-6.519411120605470,-14.013262316894500,-4.905719201660160,-11.44667813720700,-6.445190869140630,-11.700463513183600,-2.583343591308590,-10.05564697265630,-0.6248866333007810,-9.212887988281250,0.29448680419921900,-9.737218151855470
lower,-6.675034228515620,6.193799694824220,-5.923254907226560,6.368576416015630,-4.623203405761720,6.2584431396484400,-2.4851813232421900,5.109226342773440,-2.157175695800780,1.024718310546880,-4.139574670410160,-3.0071172851562500,-5.559336254882810,-8.508992700195310,-7.501033801269530,-10.639832177734400,-9.22485899658203,-13.223175769043000,-7.745242370605470,-12.600683337402300,-6.196193896484380,-11.346121667480500,-4.970362646484380,-10.273519323730500,-4.201823913574220,-9.87608184814453,-2.825157958984380,-10.072406384277300
none,-2.5378537597656200,-9.421183532714840,-2.540247961425780,-9.447519750976560,-2.454056701660160,-9.485826977539060,-2.4851813232421900,-9.45470235595703,-2.528276953125,-9.591171850585940,-2.4301146850585900,-9.45470235595703,-2.442085693359380,-9.459490759277340,-2.3918074584960900,-9.49300958251953,-2.398990063476560,-9.49300958251953,-2.4061726684570300,-9.483432775878910,-2.5905261962890600,-9.648632690429690,-2.4205378784179700,-9.497797985839840,-2.4133552734375,-9.464279162597660,-2.5905261962890600,-9.509768994140630
none,-2.5713725830078100,-9.471461767578130,-2.549824768066410,-9.471461767578130,-2.597708801269530,-9.425971936035160,-2.521094348144530,-9.469067565917970,-2.454056701660160,-9.49300958251953,-2.3774422485351600,-9.485826977539060,-2.4133552734375,-9.457096557617190,-2.398990063476560,-9.481038574218750,-2.492363928222660,-9.406818322753910,-2.5953145996093700,-9.478644372558590,-2.4061726684570300,-9.49300958251953,-2.31758720703125,-9.797073193359370,-2.039859814453130,-9.892841259765630,-1.924938134765630,-9.804255798339840
none,-9.050082275390620,-0.028730419921875,-9.052476477050780,-0.0430956298828125,-9.045293872070310,-0.086191259765625,-9.165003955078120,0.13646949462890600,-9.14824454345703,-0.19871873779296900,-8.688557824707030,-0.19871873779296900,-9.081206896972660,-0.055066638183593700,-9.208099584960940,-0.055066638183593700,-9.165003955078120,-0.02154781494140630,-9.184157568359380,0.062249243164062500,-9.081206896972660,0.12210428466796900,-9.143456140136720,-0.06703764648437500,-9.121908325195310,0.00239420166015625,-9.327809667968750,0.11013327636718700
none,-9.141061938476560,0.011971008300781200,-9.131485131835940,0.00239420166015625,-9.334992272949220,0.028730419921875,-9.193734375,-0.047884033203125000,-9.234435803222660,-0.011971008300781200,-9.229647399902340,0.07422025146484380,-9.066841687011720,-0.12689268798828100,-9.34696328125,-0.04548983154296880,-9.229647399902340,0.02633621826171880,-9.184157568359380,-0.028730419921875,-9.169792358398440,0.047884033203125000,-9.047688073730470,0.05746083984375,-9.196128576660160,-0.143652099609375,-9.191340173339840,0.011971008300781200
none,-9.184157568359380,0.02633621826171880,-9.208099584960940,0.10773907470703100,-9.217676391601560,0.04548983154296880,-9.208099584960940,-0.00239420166015625,-9.677363110351560,-0.0909796630859375,-10.149020837402300,-1.1516109985351600,-10.998962426757800,-2.750937707519530,-9.81862100830078,-1.4317325927734400,-6.993463049316410,-0.6464344482421870,-5.889736083984380,0.08140285644531250,-6.490680700683590,0.9241618408203130,-6.866570361328130,0.6919242797851560,-7.012616662597660,0.5482721801757810,-6.763619689941410,1.0702081420898400
none,-3.0406361083984400,-9.33978067626953,-2.9376854370117200,-9.306261853027340,-3.5913024902343700,-9.428366137695310,-3.356670727539060,-9.490615380859370,-3.2249896362304700,-9.725247143554690,-3.0502129150390600,-9.600748657226560,-2.844311572265630,-9.397241516113280,-2.6192566162109400,-9.14824454345703,-2.693476867675780,-8.813056311035160,-3.019088293457030,-8.808267907714840,-3.0741549316406200,-9.04050546875,-3.2537200561523400,-9.205705383300780,-3.246537451171880,-9.296685046386720,-3.265691064453130,-9.275137231445310
