Class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14
FALSE,-8.458714465332030,-2.4157494750976600,-4.2305543334960900,-8.473079675292970,-2.461239306640630,-4.218583325195310,-8.475473876953120,-2.4205378784179700,-4.225765930175780,-8.441955053710940,-2.39420166015625,-4.125209460449220,-8.463502868652340,-2.3056161987304700,-4.187458703613280,-8.441955053710940,-2.4492682983398400,-4.161122485351560,-8.480262280273440,-2.499546533203130,-3.986345764160160,-8.295908752441410,-2.375048046875,-4.283226770019530,-8.384494213867190,-2.422932080078130,-4.1563340820312500,-8.513781103515620,-2.4588451049804700,-4.240131140136720,-8.384494213867190,-2.3870190551757800,-4.285620971679690,-8.461108666992190,-2.4684219116210900,-4.053383410644530,-8.291120349121090,-2.4061726684570300,-4.00310517578125,-8.451531860351560,-2.463633508300780,-3.8474820678710900
FALSE,-8.487444885253910,-2.4109610717773400,-4.089296435546880,-8.506598498535160,-2.461239306640630,-4.086902233886720,-8.578424548339840,-2.375048046875,-4.043806604003910,-8.48505068359375,-2.4157494750976600,-4.211400720214840,-8.506598498535160,-2.442085693359380,-4.082113830566410,-8.434772448730470,-2.4492682983398400,-4.149151477050780,-8.508992700195310,-2.4205378784179700,-4.089296435546880,-8.394071020507810,-2.375048046875,-4.1563340820312500,-8.532934716796880,-2.5163059448242200,-4.2880151733398400,-8.300697155761720,-2.43250888671875,-4.333505004882810,-8.350975390625000,-2.43250888671875,-4.204218115234380,-8.465897070312500,-2.530671154785160,-4.240131140136720,-8.384494213867190,-2.4133552734375,-4.201823913574220,-8.537723120117190,-2.4899697265625,-4.110844250488280
FALSE,-8.291120349121090,-2.4516625,-4.335899206542970,-8.36294639892578,-2.4444798950195300,-4.024652990722660,-8.403647827148440,-2.398990063476560,-4.1946413085937500,-8.566453540039060,-2.403778466796880,-4.333505004882810,-8.403647827148440,-2.365471240234380,-4.129997863769530,-8.389282617187500,-2.403778466796880,-4.225765930175780,-8.494627490234380,-2.398990063476560,-4.1754876953125000,-8.559270935058590,-2.3056161987304700,-4.094084838867190,-8.456320263671880,-2.300827795410160,-4.019864587402340,-8.465897070312500,-2.4109610717773400,-4.177881896972660,-8.501810095214840,-2.2840683837890600,-4.189852905273440,-8.40125362548828,-2.3439234252929700,-4.055777612304690,-8.40843623046875,-2.463633508300780,-4.4005426513671900,-8.547299926757810,-2.365471240234380,-4.412513659667970
FALSE,-8.43956085205078,-2.3582886352539100,-4.158728283691410,-8.568847741699220,-2.4492682983398400,-4.261678955078130,-8.427589843750000,-2.0159177978515600,-3.5098996337890600,-8.528146313476560,-3.201047619628910,-6.72291826171875,-8.078036401367190,-2.1883003173828100,-2.4947581298828100,-8.549694128417970,-2.463633508300780,-4.446032482910160,-8.027758166503910,-2.5450363647460900,-2.9831752685546900,-8.449137658691410,-2.549824768066410,-4.46279189453125,-8.322244970703130,-2.4396914916992200,-4.414907861328130,-8.451531860351560,-2.530671154785160,-4.304774584960940,-8.334215979003910,-2.446874096679690,-4.328716601562500,-8.329427575683590,-2.3127988037109400,-4.220977526855470,-8.413224633789060,-2.4660277099609400,-4.280832568359380,-8.341398583984380,-2.4061726684570300,-4.144363073730470
FALSE,-8.403647827148440,-2.403778466796880,-4.417302062988280,-8.420407238769530,-2.4588451049804700,-4.333505004882810,-8.365340600585940,-2.6001030029296900,-4.220977526855470,-8.389282617187500,-2.4133552734375,-4.211400720214840,-8.353369592285160,-2.2194249389648400,-4.055777612304690,-8.197746484375,-2.6479870361328100,-5.046977099609380,-8.686163623046880,-2.2768857788085900,-4.299986181640630,-8.339004382324220,-2.408566870117190,-4.153939880371090,-8.358157995605470,-2.43250888671875,-4.367023828125000,-8.327033374023440,-2.437297290039060,-4.429273071289060,-8.334215979003910,-2.568978381347660,-4.388571643066410,-8.2743609375,-2.4061726684570300,-4.266467358398440,-8.192958081054690,-2.418143676757810,-5.238513232421880,-8.267178332519530,-2.389413256835940,-4.244919543457030
FALSE,-8.341398583984380,-2.35589443359375,-4.493916516113280,-8.341398583984380,-2.492363928222660,-4.455609289550780,-8.319850769042970,-2.4492682983398400,-4.484339709472660,-8.298302954101560,-2.473210314941410,-4.426878869628910,-8.36294639892578,-2.408566870117190,-4.304774584960940,-8.319850769042970,-2.482787121582030,-4.584896179199220,-8.635885388183590,-2.1883003173828100,-4.589684582519530,-8.262389929199220,-2.578555187988280,-4.185064501953130,-8.358157995605470,-2.5665841796875000,-4.450820886230470,-8.336610180664060,-2.5953145996093700,-4.472368701171880,-8.33182177734375,-2.3535002319335900,-4.6255976074218700,-8.279149340820310,-2.4684219116210900,-4.5585599609375,-8.2743609375,-2.4396914916992200,-4.5322237426757800,-8.32463917236328,-2.5426421630859400,-4.582501977539060
FALSE,-8.157045056152340,-2.5258827514648400,-4.572925170898440,-8.238447912597660,-2.461239306640630,-4.716577270507810,-8.128314636230470,-2.626439221191410,-5.011064074707030,-8.228871105957030,-2.408566870117190,-4.228160131835940,-8.420407238769530,-2.70065947265625,-5.054159704589840,-8.161833459472660,-2.365471240234380,-4.491522314453130,-8.367734802246090,-2.427720483398440,-4.5585599609375,-8.125920434570310,-2.4971523315429700,-4.80755693359375,-8.348581188964840,-2.2768857788085900,-3.725377783203130,-8.192958081054690,-2.5713725830078100,-4.80755693359375,-8.367734802246090,-2.499546533203130,-4.448426684570310,-8.358157995605470,-2.5354595581054700,-4.486733911132810,-8.341398583984380,-2.592920397949220,-4.642357019042970,-8.204929089355470,-2.4851813232421900,-4.565742565917970
FALSE,-0.7972691528320310,-9.689334118652340,-4.046200805664060,-0.55545478515625,-9.603142858886720,-3.766079211425780,-0.35194764404296900,-9.464279162597660,-3.77326181640625,-0.28490999755859400,-9.442731347656250,-4.3622354248046900,-0.42377369384765600,-10.031704956054700,-4.556165759277340,-0.28730419921875,-8.588001354980470,-1.7597382202148400,-0.7565677246093750,-9.885658654785160,-4.862623571777340,-0.28969840087890600,-9.358934289550780,-6.6702458251953100,0.16759411621093700,-9.548076220703130,-7.3094976684570300,0.2920926025390630,-9.210493786621090,-3.1292215698242200,0.04548983154296880,-9.241618408203120,-4.620809204101560,0.3806780639648440,-9.011775048828120,-5.276820458984380,0.033518823242187500,-9.062053283691410,-2.935291235351560,-0.3495534423828130,-9.162609753417970,-3.0980969482421900
FALSE,-0.201112939453125,-8.607154968261720,-4.905719201660160,-1.1923124267578100,-8.84178673095703,-5.080495922851560,-1.3072341064453100,-8.963891015625,-5.049371301269530,-1.2880804931640600,-8.939948999023440,-5.164292980957030,-1.2282254516601600,-8.89924757080078,-5.238513232421880,-1.2689268798828100,-8.870517150878910,-5.123591552734380,-1.3192051147460900,-8.875305554199220,-5.05655390625,-1.429338391113280,-8.987833032226560,-4.754884497070310,-1.3958195678710900,-8.913612780761720,-4.809951135253910,-1.3144167114257800,-8.8489693359375,-5.2073886108398400,-1.1013327636718700,-8.772354882812500,-4.774038110351560,-1.1276689819335900,-8.79150849609375,-3.833116857910160,-1.3335703247070300,-8.702923034667970,-4.486733911132810,-1.3144167114257800,-8.607154968261720,-4.369418029785160
FALSE,-2.04943662109375,-7.747636572265620,-7.199364392089840,-2.6048914062500000,-7.618349682617190,-6.323086584472660,-2.887407202148440,-6.8210805297851600,-7.005434057617190,-2.89219560546875,-7.094019519042970,-7.235277416992190,-2.9568390502929700,-6.6319385986328100,-7.3837179199218700,-3.1675287963867200,-6.253654736328130,-7.362170104980470,-3.1411925781250000,-6.093243225097660,-7.692569934082030,-3.2154128295898400,-5.928043310546880,-7.687781530761720,-3.1124621582031200,-6.069301208496090,-8.95670841064453,-2.7964275390625,-5.904101293945310,-8.039729174804690,-2.6384102294921900,-6.327874987792970,-8.33182177734375,-3.1962592163085900,-6.315903979492190,-7.687781530761720,-2.3247698120117200,-6.691793640136720,-7.582436657714840,-2.4516625,-7.031770275878910,-7.357381701660160
FALSE,-9.026140258789060,-1.1827356201171900,-3.0526071166992200,-8.901641772460940,-1.216254443359380,-3.0406361083984400,-8.913612780761720,-0.8906430175781250,-3.172317199707030,-8.896853369140620,-0.9528922607421880,-2.9568390502929700,-8.916006982421880,-1.1659762084960900,-2.96881005859375,-8.63827958984375,-1.0390835205078100,-2.8706477905273400,-8.990227233886720,-0.7852981445312500,-3.687070556640630,-8.686163623046880,-0.7685387329101560,-3.7038299682617200,-8.726865051269530,-0.8738836059570310,-3.2609026611328100,-9.02135185546875,-0.8164227661132810,-4.728548278808590,-8.84178673095703,-0.7829039428710940,-4.173093493652340,-8.688557824707030,-0.7206546997070310,-3.356670727539060,-8.942343200683590,-1.189918225097660,-3.3494881225585900,-8.939948999023440,-0.9911994873046870,-3.1196447631835900
FALSE,-8.604760766601560,-1.0941501586914100,-3.5601778686523400,-8.89924757080078,-1.0103531005859400,-3.5218706420898400,-9.016563452148440,-0.9193734375,-3.6200329101562500,-8.86812294921875,-0.8044517578125,-3.5889082885742200,-8.767566479492190,-1.1875240234375,-3.6487633300781200,-8.736441857910160,-1.0438719238281200,-4.046200805664060,-8.774749084472660,-1.0678139404296900,-3.763685009765630,-8.772354882812500,-0.7781155395507810,-3.5865140869140600,-8.963891015625,-1.0797849487304700,-3.7517140014648400,-8.851363537597660,-0.9074024291992190,-3.816357446289060,-8.757989672851560,-0.8978256225585940,-3.641580725097660,-8.846575134277340,-0.8595183959960940,-3.744531396484380,-8.798691101074220,-0.9121908325195310,-3.892971899414060,-8.901641772460940,-0.8499415893554690,-3.8139632446289100
FALSE,-8.801085302734380,-0.86191259765625,-3.2441432495117200,-8.882488159179690,-0.9457096557617190,-3.4620156005859400,-9.083601098632810,-0.7110778930664060,-3.5290532470703100,-8.688557824707030,-0.8355763793945310,-3.1268273681640600,-8.628702783203120,-0.7613561279296870,-3.239354846191410,-8.78432589111328,-0.565031591796875,-3.9839515625000000,-8.303091357421870,-0.7350199096679690,-3.5003228271484400,-9.081206896972660,-0.9648632690429690,-4.012681982421880,-9.090783703613280,-0.7637503295898440,-3.854664672851560,-8.547299926757810,-0.5003881469726560,-4.048595007324220,-8.422801440429690,-0.29927520751953100,-3.361459130859380,-8.801085302734380,-0.4285620971679690,-3.414131567382810,-9.141061938476560,-0.6009446166992190,-4.084508032226560,-8.66940421142578,-0.565031591796875,-1.7693150268554700
